CHARTER NO,NAME,CITY,STATE,CERT,RSSD
12072,First National Bank Alaska,Anchorage,AK,16130,114260
10697,First National Bank and Trust,Atmore,AL,2779,670430
16708,Town-Country National Bank,Camden,AL,22621,180537
9681,The First National Bank of Dozier,Dozier,AL,2794,496434
16579,First National Bank,Hamilton,AL,22271,330239
7592,The First National Bank of Hartford,Hartford,AL,2804,112332
16553,Commonwealth National Bank,Mobile,AL,22229,578237
10406,First National Bank of North Arkansas,Berryville,AR,3854,864846
21165,The First National Bank of Izard County,Calico Rock,AR,11252,379649
13637,First National Bank of Eastern Arkansas,Forrest City,AR,3863,251745
1950,The First National Bank of Fort Smith,Fort Smith,AR,3864,397540
23202,The Malvern National Bank,Malvern,AR,14644,906241
10004,First National Bank,Paragould,AR,3887,42448
14209,The First National Bank at Paris,Paris,AR,14534,45047
15482,"Relyance Bank, National Association",Pine Bluff,AR,19371,49241
24573,Legacy National Bank,Springdale,AR,57953,3306280
11312,The First National Bank of Lawrence County at Walnut Ridge,Walnut Ridge,AR,3896,799948
24224,BNC National Bank,Glendale,AZ,57197,2358769
24683,West Valley National Bank,Goodyear,AZ,58426,3480069
24671,"Goldwater Bank, National Association",Phoenix,AZ,58405,3592047
24049,"Canyon Community Bank, National Association",Tucson,AZ,35547,2919423
16840,"New Omni Bank, National Association",Alhambra,CA,23086,300063
24716,"American Plus Bank, National Association",Arcadia,CA,58469,3623110
24493,EH National Bank,Beverly Hills,CA,57734,3320576
24626,Northern California National Bank,Chico,CA,58224,3435948
23950,"Chino Commercial Bank, National Association",Chino,CA,35366,2925620
18242,"C3bank, National Association",Encinitas,CA,25249,754068
21699,"Community West Bank, National Association",Goleta,CA,27572,1412712
23925,California First National Bank,Irvine,CA,35331,2907439
14695,City National Bank,Los Angeles,CA,17281,63069
18608,Deutsche Bank National Trust Company,Los Angeles,CA,26732,670560
18607,"State Street Bank and Trust Company of California, National Association",Los Angeles,CA,26474,812164
24526,"The Bank of New York Mellon Trust Company, National Association",Los Angeles,CA,23472,398668
25079,"CIT Bank, National Association",Pasadena,CA,58978,3918898
20862,"Golden Pacific Bank, National Association",Sacramento,CA,26881,962966
24100,"Bank of Southern California, National Association",San Diego,CA,57044,3076453
22770,Neighborhood National Bank,San Diego,CA,34548,2333140
24077,"Bank of America California, National Association",San Francisco,CA,25178,1443266
18358,"Beacon Business Bank, National Association",San Francisco,CA,25644,403067
23869,"Bessemer Trust Company of California, National Association",San Francisco,CA,35413,2845782
22121,"Blackrock Institutional Trust Company, National Association",San Francisco,CA,32961,1444021
17176,Mission National Bank,San Francisco,CA,23749,519360
21541,"MUFG Union Bank, National Association",San Francisco ,CA,22826,212465
23006,Asian Pacific National Bank,San Gabriel,CA,33013,1462986
25080,"Banc of California, National Association",Santa Ana,CA,35498,200378
24577,"California International Bank, A National Banking Association",Westminster,CA,57974,3394380
17548,"Bank of Whittier, National Association",Whittier,CA,24211,209362
24182,AMG National Trust Bank,Boulder,CO,57295,3015939
15058,Pikes Peak National Bank,Colorado Springs,CO,17782,643658
14833,"First National Bank, Cortez",Cortez,CO,17872,968155
21158,"Native American Bank, National Association",Denver,CO,27026,664653
4742,"Sunflower Bank, National Association",Denver,CO,4767,474759
8004,"Transact Bank, National Association",Denver,CO,13986,403254
17000,Evergreen National Bank,Evergreen,CO,23404,427858
11571,The First National Bank of Fleming,Fleming,CO,3018,306056
8489,The First National Bank of Hugo,Hugo,CO,3029,276551
24737,Solera National Bank,Lakewood,CO,58534,3397233
6030,First National Bank of Las Animas,Las Animas,CO,3034,513256
6671,First Colorado National Bank,Paonia,CO,3047,587752
14222,The First National Bank in Trinidad,Trinidad,CO,14584,474058
8752,First Pioneer National Bank,Wray,CO,3063,357553
25103,"People's United Bank, National Association ",Bridgeport,CT,27334,613307
1214,The National Iron Bank,Salisbury,CT,2496,1008209
22545,"Patriot Bank, National Association",Stamford,CT,33928,2236821
24469,"Webster Bank, National Association",Waterbury,CT,18221,761806
23664,"Connecticut Community Bank, National Association",Westport,CT,34876,2756909
22968,"City First Bank of D.C., National Association",Washington,DC,34352,2697963
4107,The National Capital Bank of Washington,Washington,DC,2093,791821
18410,"Citicorp Trust Delaware, National Association",Greenville,DE,25677,449038
24955,"Stifel Trust Company Delaware, National Association",Wilmingtion,DE,59043,4125778
25173,"ADP Trust Company, National Association",Wilmington,DE,59194,5397639
24547,"Bessemer Trust Company of Delaware, National Association",Wilmington,DE,58011,3310287
24944,"Brown Brothers Harriman Trust Company of Delaware, National Association",Wilmington,DE,59025,4032791
24907,"Evercore Trust Company, National Association",Wilmington,DE,58927,3939240
24601,"HSBC Trust Company (Delaware), National Association",Wilmington,DE,58188,3357620
25051,Key National Trust Company of Delaware,Wilmington,DE,59069,4368351
24966,Neuberger Berman Trust Company of Delaware National Association,Wilmington,DE,59047,4146830
1316,"PNC Bank, National Association",Wilmington,DE,6384,817824
25022,"Santander Bank, National Association",Wilmington,DE,29950,722777
22611,"TD Bank USA, National Association",Wilmington,DE,33947,2121196
24096,"TD Bank, National Association",Wilmington,DE,18409,497404
24173,"The Goldman Sachs Trust Company, National Association",Wilmington,DE,57337,3066025
24090,U.S. Bank Trust National Association,Wilmington,DE,57047,2916963
23201,"Wells Fargo Delaware Trust Company, National Association",Wilmington,DE,34465,2531991
22859,"Wilmington Trust, National Association",Wilmington,DE,34069,2265456
16804,"Amerant Bank, National Association",Coral Gables,FL,22953,83638
24470,"Amerant Trust, National Association",Coral Gables,FL,57852,3266825
20976,First National Bank of Pasco,Dade City,FL,26829,82033
23329,Edison National Bank,Fort Myers,FL,34489,2594419
24719,Finemark National Bank & Trust,Fort Myers,FL,58486,3547131
23852,"Desjardins Bank, National Association",Hallandale,FL,33565,1940747
23523,"Natbank, National Association",Hollywood,FL,33959,2233875
20214,"Florida Capital Bank, National Association",Jacksonville,FL,26323,188430
25139,"Axiom Bank, National Association",Maitland,FL,31390,408875
15977,City National Bank of Florida,Miami,FL,20234,814430
15748,Eastern National Bank,Miami,FL,20026,171133
15974,Executive National Bank,Miami,FL,20711,1002430
18283,"Intercredit Bank, National Association",Miami,FL,25258,44433
20010,Pacific National Bank,Miami,FL,26299,577137
20157,Terrabank National Association,Miami,FL,26442,238737
25028,"BankUnited, National Association",Miami Lakes,FL,58979,3938186
13102,The First National Bank of Mount Dora,Mount Dora,FL,3579,61832
18613,American National Bank,Oakland Park,FL,26398,481430
18214,First National Bank Northwest Florida,Panama City,FL,25122,216230
24936,Canandaigua National Trust Company of Florida,Sarasota,FL,58999,3952904
23773,Heartland National Bank,Sebring,FL,35052,2800491
15000,The First National Bank of South Miami,South Miami,FL,17093,794336
24914,"Raymond James Bank, National Association",St. Petersburg,FL,33893,2193616
24771,"Raymond James Trust, National Association",St. Petersburg,FL,33879,2163477
14838,Seacoast National Bank,Stuart,FL,131,34537
23363,"TCM Bank, National Association",Tampa,FL,34535,2687487
14882,First National Bank of Wauchula,Wauchula,FL,18136,89135
22311,"South State Bank, National Association",Winter Haven,FL,33555,1929247
24359,Commerce National Bank & Trust,Winter Park,FL,57429,3148613
